plant_id,hub_id,unit_cost,max_weekly_units,reliability
P01,H01,3.15,1760,0.92
P01,H02,3.49,1950,0.93
P01,H03,3.83,2140,0.94
P01,H04,2.3,2330,0.95
P01,H05,2.64,2520,0.96
P01,H06,2.98,2710,0.97
P01,H07,3.32,2900,0.98
P01,H08,3.66,3090,0.9
P01,H09,4.0,3280,0.91
P01,H10,2.47,3470,0.92
P02,H01,3.66,2030,0.93
P02,H02,4.0,2220,0.94
P02,H03,2.47,2410,0.95
P02,H04,2.81,2600,0.96
P02,H05,3.15,2790,0.97
P02,H06,3.49,2980,0.98
P02,H07,3.83,3170,0.9
P02,H08,2.3,3360,0.91
P02,H09,2.64,3550,0.92
P02,H10,2.98,1340,0.93
P03,H01,2.3,2300,0.94
P03,H02,2.64,2490,0.95
P03,H03,2.98,2680,0.96
P03,H04,3.32,2870,0.97
P03,H05,3.66,3060,0.98
P03,H06,4.0,3250,0.9
P03,H07,2.47,3440,0.91
P03,H08,2.81,3630,0.92
P03,H09,3.15,1420,0.93
P03,H10,3.49,1610,0.94
P04,H01,2.81,2570,0.95
P04,H02,3.15,2760,0.96
P04,H03,3.49,2950,0.97
P04,H04,3.83,3140,0.98
P04,H05,2.3,3330,0.9
P04,H06,2.64,3520,0.91
P04,H07,2.98,1310,0.92
P04,H08,3.32,1500,0.93
P04,H09,3.66,1690,0.94
P04,H10,4.0,1880,0.95
P05,H01,3.32,2840,0.96
P05,H02,3.66,3030,0.97
P05,H03,4.0,3220,0.98
P05,H04,2.47,3410,0.9
P05,H05,2.81,3600,0.91
P05,H06,3.15,1390,0.92
P05,H07,3.49,1580,0.93
P05,H08,3.83,1770,0.94
P05,H09,2.3,1960,0.95
P05,H10,2.64,2150,0.96
P06,H01,3.83,3110,0.97
P06,H02,2.3,3300,0.98
P06,H03,2.64,3490,0.9
P06,H04,2.98,3680,0.91
P06,H05,3.32,1470,0.92
P06,H06,3.66,1660,0.93
P06,H07,4.0,1850,0.94
P06,H08,2.47,2040,0.95
P06,H09,2.81,2230,0.96
P06,H10,3.15,2420,0.97
