station_id,critical_flag
C001,0
C002,0
C003,0
C004,0
C005,0
C006,0
C007,1
C008,0
C009,0
C010,0
C011,1
C012,0
C013,0
C014,1
C015,0
C016,0
C017,0
C018,0
C019,0
C020,0
C021,1
C022,1
C023,0
C024,0
C025,0
C026,0
C027,0
C028,1
C029,0
C030,0
C031,0
C032,0
C033,1
C034,0
C035,1
C036,0
C037,0
C038,0
C039,0
C040,0
C041,0
C042,1
C043,0
C044,1
C045,0
C046,0
C047,0
C048,0
C049,1
C050,0
C051,0
C052,0
C053,0
C054,0
C055,1
C056,1
C057,0
C058,0
C059,0
C060,0
C061,0
C062,0
C063,1
C064,0
C065,0
C066,1
C067,0
C068,0
C069,0
C070,1
C071,0
C072,0
C073,0
C074,0
C075,0
C076,0
C077,1
C078,0
C079,0
C080,0
C081,0
C082,0
C083,0
C084,1
C085,0
C086,0
C087,0
C088,1
C089,0
C090,0
C091,1
C092,0
C093,0
C094,0
C095,0
C096,0
C097,0
C098,1
C099,1
C100,0
C101,0
C102,0
C103,0
C104,0
C105,1
C106,0
C107,0
C108,0
C109,0
C110,1
C111,0
C112,1
C113,0
C114,0
C115,0
C116,0
C117,0
C118,0
C119,1
C120,0
C121,1
C122,0
C123,0
C124,0
C125,0
C126,1
C127,0
C128,0
C129,0
C130,0
C131,0
C132,1
C133,1
C134,0
C135,0
C136,0
C137,0
C138,0
C139,0
C140,1
