zone_id,backlog_units,priority_weight,shuttle_only_share,min_phase_clearance_target
Z01,3537,1.1,0.19,0.5
Z02,3674,1.2,0.23,0.55
Z03,3811,1.3,0.27,0.6
Z04,3948,1.4,0.31,0.65
Z05,4085,1.5,0.15,0.7
Z06,4222,1.6,0.19,0.45
Z07,4359,1.7,0.23,0.5
Z08,4496,1.8,0.27,0.55
Z09,4633,1.0,0.31,0.6
Z10,4770,1.1,0.15,0.65
Z11,4907,1.2,0.19,0.7
Z12,5044,1.3,0.23,0.45
Z13,5181,1.4,0.27,0.5
Z14,5318,1.5,0.31,0.55
Z15,5455,1.6,0.15,0.6
Z16,5592,1.7,0.19,0.65
Z17,5729,1.8,0.23,0.7
Z18,5866,1.0,0.27,0.45
Z19,6003,1.1,0.31,0.5
Z20,6140,1.2,0.15,0.55
Z21,6277,1.3,0.19,0.6
Z22,6414,1.4,0.23,0.65
Z23,6551,1.5,0.27,0.7
Z24,6688,1.6,0.31,0.45
Z25,6825,1.7,0.15,0.5
Z26,6962,1.8,0.19,0.55
Z27,7099,1.0,0.23,0.6
Z28,7236,1.1,0.27,0.65
Z29,7373,1.2,0.31,0.7
Z30,7510,1.3,0.15,0.45
Z31,7647,1.4,0.19,0.5
Z32,7784,1.5,0.23,0.55
Z33,7921,1.6,0.27,0.6
Z34,8058,1.7,0.31,0.65
Z35,8195,1.8,0.15,0.7
Z36,8332,1.0,0.19,0.45
Z37,8469,1.1,0.23,0.5
Z38,3406,1.2,0.27,0.55
Z39,3543,1.3,0.31,0.6
Z40,3680,1.4,0.15,0.65
Z41,3817,1.5,0.19,0.7
Z42,3954,1.6,0.23,0.45
Z43,4091,1.7,0.27,0.5
Z44,4228,1.8,0.31,0.55
Z45,4365,1.0,0.15,0.6
Z46,4502,1.1,0.19,0.65
Z47,4639,1.2,0.23,0.7
Z48,4776,1.3,0.27,0.45
Z49,4913,1.4,0.31,0.5
Z50,5050,1.5,0.15,0.55
Z51,5187,1.6,0.19,0.6
Z52,5324,1.7,0.23,0.65
Z53,5461,1.8,0.27,0.7
Z54,5598,1.0,0.31,0.45
Z55,5735,1.1,0.15,0.5
Z56,5872,1.2,0.19,0.55
Z57,6009,1.3,0.23,0.6
Z58,6146,1.4,0.27,0.65
Z59,6283,1.5,0.31,0.7
Z60,6420,1.6,0.15,0.45
Z61,6557,1.7,0.19,0.5
Z62,6694,1.8,0.23,0.55
Z63,6831,1.0,0.27,0.6
Z64,6968,1.1,0.31,0.65
Z65,7105,1.2,0.15,0.7
Z66,7242,1.3,0.19,0.45
Z67,7379,1.4,0.23,0.5
Z68,7516,1.5,0.27,0.55
Z69,7653,1.6,0.31,0.6
Z70,7790,1.7,0.15,0.65
Z71,7927,1.8,0.19,0.7
Z72,8064,1.0,0.23,0.45
Z73,8201,1.1,0.27,0.5
Z74,8338,1.2,0.31,0.55
Z75,8475,1.3,0.15,0.6
Z76,3412,1.4,0.19,0.65
Z77,3549,1.5,0.23,0.7
Z78,3686,1.6,0.27,0.45
Z79,3823,1.7,0.31,0.5
Z80,3960,1.8,0.15,0.55
