shipment_id,origin_port,destination,due_day,volume_teu,late_penalty_per_teu_day
S001,PORT_A,IN03,3,25,33
S002,PORT_B,IN06,4,32,42
S003,PORT_C,IN09,5,39,51
S004,PORT_A,IN12,2,46,60
S005,PORT_B,IN15,3,53,32
S006,PORT_C,IN18,4,22,41
S007,PORT_A,IN01,5,29,50
S008,PORT_B,IN04,2,36,59
S009,PORT_C,IN07,3,43,31
S010,PORT_A,IN10,4,50,40
S011,PORT_B,IN13,5,19,49
S012,PORT_C,IN16,2,26,58
S013,PORT_A,IN19,3,33,30
S014,PORT_B,IN02,4,40,39
S015,PORT_C,IN05,5,47,48
S016,PORT_A,IN08,2,54,57
S017,PORT_B,IN11,3,23,29
S018,PORT_C,IN14,4,30,38
S019,PORT_A,IN17,5,37,47
S020,PORT_B,IN20,2,44,56
S021,PORT_C,IN03,3,51,28
S022,PORT_A,IN06,4,20,37
S023,PORT_B,IN09,5,27,46
S024,PORT_C,IN12,2,34,55
S025,PORT_A,IN15,3,41,27
S026,PORT_B,IN18,4,48,36
S027,PORT_C,IN01,5,55,45
S028,PORT_A,IN04,2,24,54
S029,PORT_B,IN07,3,31,26
S030,PORT_C,IN10,4,38,35
S031,PORT_A,IN13,5,45,44
S032,PORT_B,IN16,2,52,53
S033,PORT_C,IN19,3,21,25
S034,PORT_A,IN02,4,28,34
S035,PORT_B,IN05,5,35,43
S036,PORT_C,IN08,2,42,52
S037,PORT_A,IN11,3,49,24
S038,PORT_B,IN14,4,18,33
S039,PORT_C,IN17,5,25,42
S040,PORT_A,IN20,2,32,51
S041,PORT_B,IN03,3,39,60
S042,PORT_C,IN06,4,46,32
S043,PORT_A,IN09,5,53,41
S044,PORT_B,IN12,2,22,50
S045,PORT_C,IN15,3,29,59
S046,PORT_A,IN18,4,36,31
S047,PORT_B,IN01,5,43,40
S048,PORT_C,IN04,2,50,49
S049,PORT_A,IN07,3,19,58
S050,PORT_B,IN10,4,26,30
S051,PORT_C,IN13,5,33,39
S052,PORT_A,IN16,2,40,48
S053,PORT_B,IN19,3,47,57
S054,PORT_C,IN02,4,54,29
S055,PORT_A,IN05,5,23,38
S056,PORT_B,IN08,2,30,47
S057,PORT_C,IN11,3,37,56
S058,PORT_A,IN14,4,44,28
S059,PORT_B,IN17,5,51,37
S060,PORT_C,IN20,2,20,46
S061,PORT_A,IN03,3,27,55
S062,PORT_B,IN06,4,34,27
S063,PORT_C,IN09,5,41,36
S064,PORT_A,IN12,2,48,45
S065,PORT_B,IN15,3,55,54
S066,PORT_C,IN18,4,24,26
S067,PORT_A,IN01,5,31,35
S068,PORT_B,IN04,2,38,44
S069,PORT_C,IN07,3,45,53
S070,PORT_A,IN10,4,52,25
S071,PORT_B,IN13,5,21,34
S072,PORT_C,IN16,2,28,43
S073,PORT_A,IN19,3,35,52
S074,PORT_B,IN02,4,42,24
S075,PORT_C,IN05,5,49,33
S076,PORT_A,IN08,2,18,42
S077,PORT_B,IN11,3,25,51
S078,PORT_C,IN14,4,32,60
S079,PORT_A,IN17,5,39,32
S080,PORT_B,IN20,2,46,41
S081,PORT_C,IN03,3,53,50
S082,PORT_A,IN06,4,22,59
S083,PORT_B,IN09,5,29,31
S084,PORT_C,IN12,2,36,40
S085,PORT_A,IN15,3,43,49
S086,PORT_B,IN18,4,50,58
S087,PORT_C,IN01,5,19,30
S088,PORT_A,IN04,2,26,39
S089,PORT_B,IN07,3,33,48
S090,PORT_C,IN10,4,40,57
S091,PORT_A,IN13,5,47,29
S092,PORT_B,IN16,2,54,38
S093,PORT_C,IN19,3,23,47
S094,PORT_A,IN02,4,30,56
S095,PORT_B,IN05,5,37,28
S096,PORT_C,IN08,2,44,37
S097,PORT_A,IN11,3,51,46
S098,PORT_B,IN14,4,20,55
S099,PORT_C,IN17,5,27,27
S100,PORT_A,IN20,2,34,36
S101,PORT_B,IN03,3,41,45
S102,PORT_C,IN06,4,48,54
S103,PORT_A,IN09,5,55,26
S104,PORT_B,IN12,2,24,35
S105,PORT_C,IN15,3,31,44
S106,PORT_A,IN18,4,38,53
S107,PORT_B,IN01,5,45,25
S108,PORT_C,IN04,2,52,34
S109,PORT_A,IN07,3,21,43
S110,PORT_B,IN10,4,28,52
S111,PORT_C,IN13,5,35,24
S112,PORT_A,IN16,2,42,33
S113,PORT_B,IN19,3,49,42
S114,PORT_C,IN02,4,18,51
S115,PORT_A,IN05,5,25,60
S116,PORT_B,IN08,2,32,32
S117,PORT_C,IN11,3,39,41
S118,PORT_A,IN14,4,46,50
S119,PORT_B,IN17,5,53,59
S120,PORT_C,IN20,2,22,31
S121,PORT_A,IN03,3,29,40
S122,PORT_B,IN06,4,36,49
S123,PORT_C,IN09,5,43,58
S124,PORT_A,IN12,2,50,30
S125,PORT_B,IN15,3,19,39
S126,PORT_C,IN18,4,26,48
S127,PORT_A,IN01,5,33,57
S128,PORT_B,IN04,2,40,29
S129,PORT_C,IN07,3,47,38
S130,PORT_A,IN10,4,54,47
S131,PORT_B,IN13,5,23,56
S132,PORT_C,IN16,2,30,28
S133,PORT_A,IN19,3,37,37
S134,PORT_B,IN02,4,44,46
S135,PORT_C,IN05,5,51,55
S136,PORT_A,IN08,2,20,27
S137,PORT_B,IN11,3,27,36
S138,PORT_C,IN14,4,34,45
S139,PORT_A,IN17,5,41,54
S140,PORT_B,IN20,0,48,26
