locker_id,fixed_open_cost,daily_capacity,handling_cost_per_parcel
L001,5340,383,1.5
L002,5480,406,1.6
L003,5620,429,1.7
L004,5760,452,1.8
L005,5900,475,1.9
L006,6040,498,2.0
L007,6180,521,2.1
L008,6320,544,1.4
L009,6460,567,1.5
L010,6600,590,1.6
L011,6740,613,1.7
L012,6880,636,1.8
L013,7020,659,1.9
L014,7160,682,2.0
L015,7300,705,2.1
L016,7440,728,1.4
L017,7580,361,1.5
L018,7720,384,1.6
L019,7860,407,1.7
L020,8000,430,1.8
L021,8140,453,1.9
L022,8280,476,2.0
L023,8420,499,2.1
L024,8560,522,1.4
L025,8700,545,1.5
L026,8840,568,1.6
L027,8980,591,1.7
L028,9120,614,1.8
L029,9260,637,1.9
L030,9400,660,2.0
