zone_id,eligible_depot,trip_minutes
Z01,BD1,28
Z02,BD2,32
Z03,BD3,36
Z04,BD4,40
Z05,BD5,44
Z06,BD6,27
Z07,BD1,31
Z08,BD2,35
Z09,BD3,39
Z10,BD4,43
Z11,BD5,26
Z12,BD6,30
Z13,BD1,34
Z14,BD2,38
Z15,BD3,42
Z16,BD4,25
Z17,BD5,29
Z18,BD6,33
Z19,BD1,37
Z20,BD2,41
Z21,BD3,24
Z22,BD4,28
Z23,BD5,32
Z24,BD6,36
Z25,BD1,40
Z26,BD2,44
Z27,BD3,27
Z28,BD4,31
Z29,BD5,35
Z30,BD6,39
Z31,BD1,43
Z32,BD2,26
Z33,BD3,30
Z34,BD4,34
Z35,BD5,38
Z36,BD6,42
Z37,BD1,25
Z38,BD2,29
Z39,BD3,33
Z40,BD4,37
Z41,BD5,41
Z42,BD6,24
Z43,BD1,28
Z44,BD2,32
Z45,BD3,36
Z46,BD4,40
Z47,BD5,44
Z48,BD6,27
Z49,BD1,31
Z50,BD2,35
Z51,BD3,39
Z52,BD4,43
Z53,BD5,26
Z54,BD6,30
Z55,BD1,34
Z56,BD2,38
Z57,BD3,42
Z58,BD4,25
Z59,BD5,29
Z60,BD6,33
Z61,BD1,37
Z62,BD2,41
Z63,BD3,24
Z64,BD4,28
Z65,BD5,32
Z66,BD6,36
Z67,BD1,40
Z68,BD2,44
Z69,BD3,27
Z70,BD4,31
Z71,BD5,35
Z72,BD6,39
Z73,BD1,43
Z74,BD2,26
Z75,BD3,30
Z76,BD4,34
Z77,BD5,38
Z78,BD6,42
Z79,BD1,25
Z80,BD2,29
